Time(ns) Atom xpos(nm) ypos(nm) zpos(nm)
0.005 9 6.75829 1.65498 9.99992
0.005 10 0.411435 3.2765 0.147495
0.005 11 1.70653 3.32082 0.0191325
0.005 12 3.38193 3.39263 9.64408
0.005 13 5.0478 3.40485 9.9772
0.005 14 6.60668 3.10286 0.267779
0.005 15 0.363907 4.88511 0.0253759
0.005 16 1.69127 5.11598 0.158656
0.005 17 3.58006 4.89834 0.130719
0.005 18 4.86232 5.18935 0.0470767
0.005 19 6.46243 5.07474 0.316367
0.005 20 0.0865059 6.42708 0.338321
0.005 21 1.918 6.60479 0.0804158
0.005 22 3.22054 6.56498 0.316039
0.005 23 4.72339 6.72951 0.123284
0.005 24 6.58137 6.67878 9.92996
0.005 25 0.105437 9.73044 2.24866
0.005 26 1.82563 0.0898481 1.6781
0.005 27 3.438 9.71105 1.82021
0.005 28 4.78381 0.194215 1.6514
0.005 29 6.52332 0.29869 1.66967
0.005 30 0.0155359 1.71381 1.81136
0.005 31 1.60101 1.82784 1.71657
0.005 32 3.16733 1.77718 1.63648
0.005 33 5.09805 1.88893 1.77322
0.005 34 6.0288 1.81611 1.66677
0.005 35 0.189667 3.1493 1.71652
0.005 36 1.91024 3.49356 1.77984
0.005 37 3.39353 3.48964 1.53392
0.005 38 4.95545 3.30532 1.80145
0.005 39 6.75433 3.36101 1.19761
0.005 40 0.0364897 5.2323 1.87176
0.005 41 1.83385 5.33517 1.91362
0.005 42 3.29571 4.84753 1.78694
0.005 43 4.93917 4.79017 1.63369
0.005 44 6.99703 4.88344 1.66936
0.005 45 0.34559 6.35002 1.87939
0.005 46 1.74128 6.71882 1.57932
0.005 47 3.22883 6.86809 1.75372
0.005 48 5.01585 7.16542 1.9254
0.005 49 6.65755 6.8261 1.74994
0.005 50 0.323955 0.185884 3.2688
0.005 51 1.59216 0.0799387 3.26057
0.005 52 3.27535 0.00361812 3.50114
0.005 53 5.1182 0.308004 3.53946
0.005 54 6.51535 0.0629428 3.40833
0.005 55 0.346661 1.84374 3.45416
0.005 56 1.73327 1.939 3.45997
0.005 57 3.52781 1.81237 3.52755
0.005 58 5.19551 1.8247 3.33566
0.005 59 6.60278 1.94029 3.02918
0.005 60 0.385651 3.29902 3.0567
0.005 61 2.00223 3.41796 3.27615
0.005 62 3.5616 3.11515 3.69599
0.005 63 4.9744 3.4044 3.48337
0.005 64 6.57132 3.76511 3.60465
0.005 65 0.0423845 4.99136 3.54961
0.005 66 1.44555 5.13081 3.2766
0.005 67 3.2986 5.02321 3.2817
0.005 68 5.12273 4.75671 3.30107
0.005 69 6.76248 4.79854 3.66273
0.005 70 0.119694 6.40613 3.37596
0.005 71 1.39136 6.649 3.29942
0.005 72 3.48937 6.78642 3.40693
0.005 73 4.67788 6.58548 3.18958
0.005 74 6.67519 6.72311 3.11757
0.005 75 9.93628 0.0144603 5.00612
0.005 76 1.63126 0.0216163 4.84465
0.005 77 3.50505 0.27388 4.97826
0.005 78 5.01371 0.147119 5.04179
0.005 79 6.66523 9.94412 5.03024
0.005 80 9.89928 1.83225 4.91027
0.005 81 1.62049 1.5772 5.06019
0.005 82 3.61292 1.78531 5.1804
0.005 83 5.03743 1.70377 4.89165
0.005 84 6.83473 1.93244 5.11791
0.005 85 0.0740998 3.10152 4.97255
0.005 86 1.55612 3.69307 5.12024
0.005 87 3.47621 3.36834 4.85827
0.005 88 4.98331 3.48995 5.07275
0.005 89 6.65352 3.57832 5.0664
0.005 90 9.71095 4.92547 5.06971
0.005 91 1.87794 4.94782 4.94008
0.005 92 3.71022 4.74362 4.90444
0.005 93 5.06187 4.96439 5.15786
0.005 94 6.71671 4.76358 5.17717
0.005 95 0.279765 6.99968 5.21239
0.005 96 1.51164 6.72804 5.10634
0.005 97 3.11125 6.72637 5.13748
0.005 98 5.18881 6.62976 4.87632
0.005 99 6.78431 6.47241 5.17889
0.006 0 0.252682 9.86615 0.195839
0.006 1 1.89453 0.262415 0.039116
0.006 2 3.80545 0.391665 9.92596
0.006 3 4.70558 9.89043 0.0196557
0.006 4 6.73497 0.416704 0.0739575
0.006 5 0.163045 1.53189 0.107851
0.006 6 1.79321 1.81774 9.99064
0.006 7 3.16394 2.07348 9.9071
0.006 8 5.05945 1.86581 0.369221
0.006 9 6.76986 1.63585 9.98
0.006 10 0.473983 3.25182 0.157072
0.006 11 1.69765 3.30491 0.00304417
0.006 12 3.37832 3.39109 9.55302
0.006 13 5.04737 3.40577 9.95273
0.006 14 6.58813 3.04369 0.302753
0.006 15 0.416898 4.85216 0.010536
0.006 16 1.67937 5.12923 0.170441
0.006 17 3.61626 4.86802 0.136931
0.006 18 4.82462 5.21722 0.036607
0.006 19 6.41486 5.07971 0.359776
0.006 20 0.0838892 6.37239 0.386085
0.006 21 1.95177 6.58561 0.0766739
0.006 22 3.18452 6.53793 0.359352
0.006 23 4.65801 6.7353 0.127999
0.006 24 6.55759 6.67447 9.89601
0.006 25 0.106687 9.65677 2.34892
0.006 26 1.84077 0.0878782 1.66375
0.006 27 3.44567 9.63335 1.83427
0.006 28 4.73049 0.213101 1.63165
0.006 29 6.4879 0.338533 1.65357
0.006 30 9.99878 1.7067 1.82364
0.006 31 1.57122 1.84343 1.70988
0.006 32 3.12074 1.78266 1.61376
0.006 33 5.1095 1.91667 1.77762
0.006 34 5.8927 1.82946 1.65037
0.006 35 0.207699 3.09906 1.70995
0.006 36 1.94234 3.51224 1.78586
0.006 37 3.3922 3.50769 1.49074
0.006 38 4.93652 3.28634 1.81173
0.006 39 6.76492 3.35288 1.08575
0.006 40 0.0239836 5.26924 1.89616
0.006 41 1.85062 5.39229 1.94642
0.006 42 3.27483 4.80691 1.79435
0.006 43 4.91695 4.7381 1.61042
0.006 44 7.05635 4.85008 1.65311
0.006 45 0.394743 6.27953 1.90528
0.006 46 1.73954 6.72239 1.54517
0.006 47 3.19453 6.90163 1.75439
0.006 48 5.009 7.25841 1.96059
0.006 49 6.64899 6.85128 1.75008
0.006 50 0.368956 0.202925 3.24207
0.006 51 1.56036 0.0759983 3.23269
0.006 52 3.25041 9.98442 3.52142
0.006 53 5.13195 0.349704 3.56741
0.006 54 6.47826 0.0556032 3.41002
0.006 55 0.396164 1.86254 3.46501
0.006 56 1.72979 1.97686 3.47197
0.006 57 3.5534 1.82506 3.55313
0.006 58 5.22467 1.83963 3.32277
0.006 59 6.58312 1.97833 2.95493
0.006 60 0.442855 3.27873 2.9879
0.006 61 2.05265 3.42149 3.25131
0.006 62 3.59397 3.05807 3.75554
0.006 63 4.95923 3.40537 3.50007
0.006 64 6.54562 3.83899 3.64574
0.006 65 0.03103 4.97976 3.57952
0.006 66 1.38457 5.14704 3.25183
0.006 67 3.27833 5.01784 3.25799
0.006 68 5.13728 4.69788 3.2813
0.006 69 6.77474 4.74736 3.71532
0.006 70 0.123928 6.34721 3.37107
0.006 71 1.31939 6.63862 3.27929
0.006 72 3.50757 6.80359 3.40824
0.006 73 4.60316 6.56263 3.14744
0.006 74 6.67018 6.7277 3.06092
0.006 75 9.90361 9.99741 4.99728
